Date;Close-TSLA
2014-10-06 00.00.00;15,79399967
2014-10-13 00.00.00;15,16533279
2014-10-20 00.00.00;15,68266678
2014-10-27 00.00.00;16,11333275
2014-11-03 00.00.00;16,01333237
2014-11-10 00.00.00;17,24533272
2014-11-17 00.00.00;16,18533325
2014-11-24 00.00.00;16,30133247
2014-12-01 00.00.00;14,91399956
2014-12-08 00.00.00;13,80000019
2014-12-15 00.00.00;14,61933327
2014-12-22 00.00.00;15,18799973
2014-12-29 00.00.00;14,62066746
2015-01-05 00.00.00;13,77733326
2015-01-12 00.00.00;12,87133312
2015-01-19 00.00.00;13,41933346
2015-01-26 00.00.00;13,57333279
2015-02-02 00.00.00;14,49066734
2015-02-09 00.00.00;13,58466721
2015-02-16 00.00.00;14,47399998
2015-02-23 00.00.00;13,55599976
2015-03-02 00.00.00;12,92533302
2015-03-09 00.00.00;12,57866669
2015-03-16 00.00.00;13,20533276
2015-03-23 00.00.00;12,33333302
2015-03-30 00.00.00;12,73333263
2015-04-06 00.00.00;14,06000042
2015-04-13 00.00.00;13,78600025
2015-04-20 00.00.00;14,56200027
2015-04-27 00.00.00;15,06866741
2015-05-04 00.00.00;15,77400017
2015-05-11 00.00.00;16,58933258
2015-05-18 00.00.00;16,51533318
2015-05-25 00.00.00;16,71999931
2015-06-01 00.00.00;16,60933304
2015-06-08 00.00.00;16,71266747
2015-06-15 00.00.00;17,50066757
2015-06-22 00.00.00;17,80599976
2015-06-29 00.00.00;18,66799927
2015-07-06 00.00.00;17,27666664
2015-07-13 00.00.00;18,31066704
2015-07-20 00.00.00;17,69400024
2015-07-27 00.00.00;17,74333382
2015-08-03 00.00.00;16,1673336
2015-08-10 00.00.00;16,20999908
2015-08-17 00.00.00;15,3846674
2015-08-24 00.00.00;16,56533241
2015-08-31 00.00.00;16,12866783
2015-09-07 00.00.00;16,68266678
2015-09-14 00.00.00;17,37466621
2015-09-21 00.00.00;17,12733269
2015-09-28 00.00.00;16,50466728
2015-10-05 00.00.00;14,71266747
2015-10-12 00.00.00;15,13399982
2015-10-19 00.00.00;13,93933296
2015-10-26 00.00.00;13,79533291
2015-11-02 00.00.00;15,49066734
2015-11-09 00.00.00;13,81266689
2015-11-16 00.00.00;14,66733265
2015-11-23 00.00.00;15,44066715
2015-11-30 00.00.00;15,35866737
2015-12-07 00.00.00;14,46800041
2015-12-14 00.00.00;15,36400032
2015-12-21 00.00.00;15,37133312
2015-12-28 00.00.00;16,00066757
2016-01-04 00.00.00;14,0666666
2016-01-11 00.00.00;13,66600037
2016-01-18 00.00.00;13,50333309
2016-01-25 00.00.00;12,74666691
2016-02-01 00.00.00;10,84000015
2016-02-08 00.00.00;10,06933308
2016-02-15 00.00.00;11,10533333
2016-02-22 00.00.00;12,68933296
2016-02-29 00.00.00;13,40266705
2016-03-07 00.00.00;13,83333302
2016-03-14 00.00.00;15,51599979
2016-03-21 00.00.00;15,1833334
2016-03-28 00.00.00;15,83933258
2016-04-04 00.00.00;16,67133331
2016-04-11 00.00.00;16,96733284
2016-04-18 00.00.00;16,91666794
2016-04-25 00.00.00;16,05066681
2016-05-02 00.00.00;14,32866669
2016-05-09 00.00.00;13,84066677
2016-05-16 00.00.00;14,68533325
2016-05-23 00.00.00;14,86933327
2016-05-30 00.00.00;14,59933281
2016-06-06 00.00.00;14,58600044
2016-06-13 00.00.00;14,36466694
2016-06-20 00.00.00;12,87666702
2016-06-27 00.00.00;14,4333334
2016-07-04 00.00.00;14,45199966
2016-07-11 00.00.00;14,69333267
2016-07-18 00.00.00;14,81799984
2016-07-25 00.00.00;15,65266705
2016-08-01 00.00.00;15,33533287
2016-08-08 00.00.00;15,04066658
2016-08-15 00.00.00;15
2016-08-22 00.00.00;14,66600037
2016-08-29 00.00.00;13,18533325
2016-09-05 00.00.00;12,96466732
2016-09-12 00.00.00;13,69333267
2016-09-19 00.00.00;13,82999992
2016-09-26 00.00.00;13,60200024
2016-10-03 00.00.00;13,10733318
2016-10-10 00.00.00;13,100667
2016-10-17 00.00.00;13,33933258
2016-10-24 00.00.00;13,33133316
2016-10-31 00.00.00;12,70400047
2016-11-07 00.00.00;12,57066727
2016-11-14 00.00.00;12,33466721
2016-11-21 00.00.00;13,10999966
2016-11-28 00.00.00;12,09799957
2016-12-05 00.00.00;12,81200027
2016-12-12 00.00.00;13,49933338
2016-12-19 00.00.00;14,22266674
2016-12-26 00.00.00;14,24600029
2017-01-02 00.00.00;15,26733303
2017-01-09 00.00.00;15,85000038
2017-01-16 00.00.00;16,31533241
2017-01-23 00.00.00;16,86333275
2017-01-30 00.00.00;16,75533295
2017-02-06 00.00.00;17,94866753
2017-02-13 00.00.00;18,14866638
2017-02-20 00.00.00;17,13333321
2017-02-27 00.00.00;16,77133369
2017-03-06 00.00.00;16,24600029
2017-03-13 00.00.00;17,43333244
2017-03-20 00.00.00;17,54400063
2017-03-27 00.00.00;18,55333328
2017-04-03 00.00.00;20,1693325
2017-04-10 00.00.00;20,26666641
2017-04-17 00.00.00;20,37333298
2017-04-24 00.00.00;20,93799973
2017-05-01 00.00.00;20,55666733
2017-05-08 00.00.00;21,65399933
2017-05-15 00.00.00;20,72200012
2017-05-22 00.00.00;21,6760006
2017-05-29 00.00.00;22,65666771
2017-06-05 00.00.00;23,82133293
2017-06-12 00.00.00;24,76000023
2017-06-19 00.00.00;25,56333351
2017-06-26 00.00.00;24,10733223
2017-07-03 00.00.00;20,8813324
2017-07-10 00.00.00;21,85199928
2017-07-17 00.00.00;21,89333344
2017-07-24 00.00.00;22,33799934
2017-07-31 00.00.00;23,79400063
2017-08-07 00.00.00;23,8579998
2017-08-14 00.00.00;23,16399956
2017-08-21 00.00.00;23,2033329
2017-08-28 00.00.00;23,69333267
2017-09-04 00.00.00;22,89333344
2017-09-11 00.00.00;25,32066727
2017-09-18 00.00.00;23,40600014
2017-09-25 00.00.00;22,73999977
2017-10-02 00.00.00;23,79199982
2017-10-09 00.00.00;23,70466614
2017-10-16 00.00.00;23,00666618
2017-10-23 00.00.00;21,39133263
2017-10-30 00.00.00;20,40600014
2017-11-06 00.00.00;20,19933319
2017-11-13 00.00.00;21,00333214
2017-11-20 00.00.00;21,03666687
2017-11-27 00.00.00;20,43533325
2017-12-04 00.00.00;21,00866699
2017-12-11 00.00.00;22,89666748
2017-12-18 00.00.00;21,68000031
2017-12-25 00.00.00;20,75666618
2018-01-01 00.00.00;21,10533333
2018-01-08 00.00.00;22,41466713
2018-01-15 00.00.00;23,33466721
2018-01-22 00.00.00;22,85666656
2018-01-29 00.00.00;22,91666794
2018-02-05 00.00.00;20,69466782
2018-02-12 00.00.00;22,36599922
2018-02-19 00.00.00;23,46999931
2018-02-26 00.00.00;22,34133339
2018-03-05 00.00.00;21,8113327
2018-03-12 00.00.00;21,42333221
2018-03-19 00.00.00;20,10266685
2018-03-26 00.00.00;17,74200058
2018-04-02 00.00.00;19,9533329
2018-04-09 00.00.00;20,02266693
2018-04-16 00.00.00;19,34933281
2018-04-23 00.00.00;19,60533333
2018-04-30 00.00.00;19,6060009
2018-05-07 00.00.00;20,07066727
2018-05-14 00.00.00;18,45466614
2018-05-21 00.00.00;18,59000015
2018-05-28 00.00.00;19,45466614
2018-06-04 00.00.00;21,17733383
2018-06-11 00.00.00;23,87800026
2018-06-18 00.00.00;22,24200058
2018-06-25 00.00.00;22,86333275
2018-07-02 00.00.00;20,59333229
2018-07-09 00.00.00;21,25799942
2018-07-16 00.00.00;20,90533257
2018-07-23 00.00.00;19,81200027
2018-07-30 00.00.00;23,21133232
2018-08-06 00.00.00;23,69933319
2018-08-13 00.00.00;20,36666679
2018-08-20 00.00.00;21,52133369
2018-08-27 00.00.00;20,11066628
2018-09-03 00.00.00;17,54933357
2018-09-10 00.00.00;19,68000031
2018-09-17 00.00.00;19,94000053
2018-09-24 00.00.00;17,65133286
2018-10-01 00.00.00;17,46333313
2018-10-08 00.00.00;17,25200081
2018-10-15 00.00.00;17,33333206
2018-10-22 00.00.00;22,05999947
2018-10-29 00.00.00;23,09399986
2018-11-05 00.00.00;23,36733246
2018-11-12 00.00.00;23,6206665
2018-11-19 00.00.00;21,72200012
2018-11-26 00.00.00;23,36533356
2018-12-03 00.00.00;23,86466789
2018-12-10 00.00.00;24,38066673
2018-12-17 00.00.00;21,31800079
2018-12-24 00.00.00;22,25799942
2018-12-31 00.00.00;21,17933273
2019-01-07 00.00.00;23,15066719
2019-01-14 00.00.00;20,15066719
2019-01-21 00.00.00;19,80266762
2019-01-28 00.00.00;20,81399918
2019-02-04 00.00.00;20,38666725
2019-02-11 00.00.00;20,5253334
2019-02-18 00.00.00;19,64733315
2019-02-25 00.00.00;19,65266609
2019-03-04 00.00.00;18,94266701
2019-03-11 00.00.00;18,36199951
2019-03-18 00.00.00;17,63533211
2019-03-25 00.00.00;18,65733337
2019-04-01 00.00.00;18,3306675
2019-04-08 00.00.00;17,84666634
2019-04-15 00.00.00;18,21733284
2019-04-22 00.00.00;15,67599964
2019-04-29 00.00.00;17,00200081
2019-05-06 00.00.00;15,96800041
2019-05-13 00.00.00;14,06866741
2019-05-20 00.00.00;12,7086668
2019-05-27 00.00.00;12,34399986
2019-06-03 00.00.00;13,63333321
2019-06-10 00.00.00;14,32800007
2019-06-17 00.00.00;14,79066658
2019-06-24 00.00.00;14,89733315
2019-07-01 00.00.00;15,53999996
2019-07-08 00.00.00;16,33866692
2019-07-15 00.00.00;17,21199989
2019-07-22 00.00.00;15,20266724
2019-07-29 00.00.00;15,62266731
2019-08-05 00.00.00;15,66733265
2019-08-12 00.00.00;14,66266727
2019-08-19 00.00.00;14,09333324
2019-08-26 00.00.00;15,04066658
2019-09-02 00.00.00;15,16333294
2019-09-09 00.00.00;16,34666634
2019-09-16 00.00.00;16,04133224
2019-09-23 00.00.00;16,1420002
2019-09-30 00.00.00;15,42866707
2019-10-07 00.00.00;16,52599907
2019-10-14 00.00.00;17,12999916
2019-10-21 00.00.00;21,87533379
2019-10-28 00.00.00;20,88733292
2019-11-04 00.00.00;22,47599983
2019-11-11 00.00.00;23,47800064
2019-11-18 00.00.00;22,20266724
2019-11-25 00.00.00;21,99600029
2019-12-02 00.00.00;22,39266777
2019-12-09 00.00.00;23,89266777
2019-12-16 00.00.00;27,03933334
2019-12-23 00.00.00;28,69199944
2019-12-30 00.00.00;29,5340004
2020-01-06 00.00.00;31,87666702
2020-01-13 00.00.00;34,03333282
2020-01-20 00.00.00;37,6546669
2020-01-27 00.00.00;43,37133408
2020-02-03 00.00.00;49,87133408
2020-02-10 00.00.00;53,33533478
2020-02-17 00.00.00;60,06666565
2020-02-24 00.00.00;44,53266525
2020-03-02 00.00.00;46,89866638
2020-03-09 00.00.00;36,44133377
2020-03-16 00.00.00;28,50200081
2020-03-23 00.00.00;34,29066849
2020-03-30 00.00.00;32,00066757
2020-04-06 00.00.00;38,20000076
2020-04-13 00.00.00;50,25933456
2020-04-20 00.00.00;48,3433342
2020-04-27 00.00.00;46,75466537
2020-05-04 00.00.00;54,62799835
2020-05-11 00.00.00;53,27799988
2020-05-18 00.00.00;54,45866776
2020-05-25 00.00.00;55,66666794
2020-06-01 00.00.00;59,04399872
2020-06-08 00.00.00;62,35200119
2020-06-15 00.00.00;66,72666931
2020-06-22 00.00.00;63,98266602
2020-06-29 00.00.00;80,57733154
2020-07-06 00.00.00;102,9766693
2020-07-13 00.00.00;100,0559998
2020-07-20 00.00.00;94,46666718
2020-07-27 00.00.00;95,38400269
2020-08-03 00.00.00;96,84733582
2020-08-10 00.00.00;110,0473328
2020-08-17 00.00.00;136,665329
2020-08-24 00.00.00;147,5599976
2020-08-31 00.00.00;139,4400024
2020-09-07 00.00.00;124,2399979
2020-09-14 00.00.00;147,3833313
2020-09-21 00.00.00;135,7799988
2020-09-28 00.00.00;138,363327
2020-10-05 00.00.00;144,6666718
2020-10-12 00.00.00;146,5566711
2020-10-19 00.00.00;140,2100067
2020-10-26 00.00.00;129,3466644
2020-11-02 00.00.00;143,3166656
2020-11-09 00.00.00;136,1666718
2020-11-16 00.00.00;163,2033386
2020-11-23 00.00.00;195,2533264
2020-11-30 00.00.00;199,6799927
2020-12-07 00.00.00;203,3300018
2020-12-14 00.00.00;231,6666718
2020-12-21 00.00.00;220,5899963
2020-12-28 00.00.00;235,2233276
2021-01-04 00.00.00;293,3399963
2021-01-11 00.00.00;275,3866577
2021-01-18 00.00.00;282,2133179
2021-01-25 00.00.00;264,5100098
2021-02-01 00.00.00;284,0766602
2021-02-08 00.00.00;272,0400085
2021-02-15 00.00.00;260,4333191
2021-02-22 00.00.00;225,1666718
2021-03-01 00.00.00;199,3166656
2021-03-08 00.00.00;231,2433319
2021-03-15 00.00.00;218,2899933
2021-03-22 00.00.00;206,2366638
2021-03-29 00.00.00;220,5833282
2021-04-05 00.00.00;225,6733398
2021-04-12 00.00.00;246,593338
2021-04-19 00.00.00;243,1333313
2021-04-26 00.00.00;236,4799957
2021-05-03 00.00.00;224,1233368
2021-05-10 00.00.00;196,5800018
2021-05-17 00.00.00;193,6266632
2021-05-24 00.00.00;208,406662
2021-05-31 00.00.00;199,6833344
2021-06-07 00.00.00;203,2966614
2021-06-14 00.00.00;207,7700043
2021-06-21 00.00.00;223,956665
2021-06-28 00.00.00;226,3000031
2021-07-05 00.00.00;218,9833374
2021-07-12 00.00.00;214,7400055
2021-07-19 00.00.00;214,4600067
2021-07-26 00.00.00;229,0666656
2021-08-02 00.00.00;233,0333405
2021-08-09 00.00.00;239,0566711
2021-08-16 00.00.00;226,7533264
2021-08-23 00.00.00;237,3066711
2021-08-30 00.00.00;244,5233307
2021-09-06 00.00.00;245,4233398
2021-09-13 00.00.00;253,1633301
2021-09-20 00.00.00;258,1300049
2021-09-27 00.00.00;258,4066772
2021-10-04 00.00.00;261,8299866
2021-10-11 00.00.00;281,0100098
2021-10-18 00.00.00;303,2266541
2021-10-25 00.00.00;371,3333435
2021-11-01 00.00.00;407,3633423
2021-11-08 00.00.00;344,4733276
2021-11-15 00.00.00;379,019989
2021-11-22 00.00.00;360,6400146
2021-11-29 00.00.00;338,3233337
2021-12-06 00.00.00;339,0100098
2021-12-13 00.00.00;310,8566589
2021-12-20 00.00.00;355,6666565
2021-12-27 00.00.00;352,2600098
2022-01-03 00.00.00;342,3200073
2022-01-10 00.00.00;349,8699951
2022-01-17 00.00.00;314,6333313
2022-01-24 00.00.00;282,1166687
2022-01-31 00.00.00;307,7733459
2022-02-07 00.00.00;286,6666565
2022-02-14 00.00.00;285,6600037
2022-02-21 00.00.00;269,956665
2022-02-28 00.00.00;279,4299927
2022-03-07 00.00.00;265,1166687
